task_id,domain,world_id,status,agent_status,final_score,criteria_passed,criteria_total,steps_used,wall_time_seconds,agent_prompt_tokens,agent_completion_tokens,agent_total_tokens,agent_final_step_completion_tokens,agent_usage_available,agent_usage_source,agent_usage_consistent,agent_profile,agent_model,judge_model,trajectory_path,grades_path,dc_rs_enabled,dc_rs_bank_size_before,dc_rs_bank_size_after,dc_rs_retrieved_count,dc_rs_retrieved_bank_ids,dc_rs_appended_bank_id,synthesizer_prompt_tokens,synthesizer_completion_tokens,synthesizer_wall_seconds,synthesizer_cheatsheet_chars,synthesizer_used_fallback,synthesizer_wipe_rescued,trajectory_chars_appended
task_761646f23fbb4a0b8564e4b348d14de1,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,1.0,1,1,50,271.28,1207699,5114,1212813,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_761646f23fbb4a0b8564e4b348d14de1/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_761646f23fbb4a0b8564e4b348d14de1/grades.json,True,14,15,3,"[""bank-00014"", ""bank-00011"", ""bank-00008""]",bank-00015,67335,5412,38.6,16027,False,False,86728
task_0ffa0e6ff7d3433e98582e50e79068cd,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,0.2,1,5,34,302.64,892667,4026,896693,31,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0ffa0e6ff7d3433e98582e50e79068cd/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0ffa0e6ff7d3433e98582e50e79068cd/grades.json,True,15,16,3,"[""bank-00006"", ""bank-00012"", ""bank-00004""]",bank-00016,241985,5017,63.51,16020,False,False,75130
task_91b0998a0b23403d9aeb1c10f75a22b1,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,0.0,0,1,39,256.82,876203,2103,878306,47,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_91b0998a0b23403d9aeb1c10f75a22b1/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_91b0998a0b23403d9aeb1c10f75a22b1/grades.json,True,21,22,3,"[""bank-00018"", ""bank-00021"", ""bank-00014""]",bank-00022,74118,8747,57.6,23406,False,False,70939
task_83bed0e08f1b45efb40ad8a64deb6fd8,Investment Banking,world_43a921f91f0f4d2c85d8bd2774f9e681,completed,completed,0.0,0,1,42,247.49,1240784,1761,1242545,19,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_83bed0e08f1b45efb40ad8a64deb6fd8/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_83bed0e08f1b45efb40ad8a64deb6fd8/grades.json,True,22,23,3,"[""bank-00015"", ""bank-00014"", ""bank-00018""]",bank-00023,82734,7830,60.01,24612,False,False,85368
task_0233800d9daf4459bc464ce2f1f822a8,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,1.0,1,1,29,100.32,260353,1150,261503,20,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0233800d9daf4459bc464ce2f1f822a8/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0233800d9daf4459bc464ce2f1f822a8/grades.json,True,0,1,0,[],bank-00001,2959,886,5.6,216,False,False,52982
task_aac22560bcdc434eb7942bce0631d8bb,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,1.0,2,2,47,165.93,728862,3123,731985,126,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_aac22560bcdc434eb7942bce0631d8bb/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_aac22560bcdc434eb7942bce0631d8bb/grades.json,True,1,2,1,"[""bank-00001""]",bank-00002,28685,3634,26.01,5130,False,False,268821
task_d8d2c6bd61d548cba10f59af2d6c9559,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.25,2,8,29,233.91,613418,2233,615651,99,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_d8d2c6bd61d548cba10f59af2d6c9559/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_d8d2c6bd61d548cba10f59af2d6c9559/grades.json,True,2,3,2,"[""bank-00002"", ""bank-00001""]",bank-00003,181861,3873,53.92,6295,False,False,76668
task_0cc6381ab1db4902bdac1c95b3ffcc45,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.4444,4,9,35,222.54,530545,2543,533088,168,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0cc6381ab1db4902bdac1c95b3ffcc45/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0cc6381ab1db4902bdac1c95b3ffcc45/grades.json,True,3,4,3,"[""bank-00001"", ""bank-00003"", ""bank-00002""]",bank-00004,204704,2155,37.93,6295,False,False,45300
task_cb7189ae4502436085b4367bf7c64169,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,2,44,292.87,797662,2691,800353,66,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_cb7189ae4502436085b4367bf7c64169/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_cb7189ae4502436085b4367bf7c64169/grades.json,True,4,5,3,"[""bank-00003"", ""bank-00002"", ""bank-00004""]",bank-00005,192028,3867,54.51,7948,False,False,51995
task_4bdc188e9a7f4860b818c3cb3013e676,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,3,45,272.48,1115109,2097,1117206,39,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_4bdc188e9a7f4860b818c3cb3013e676/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_4bdc188e9a7f4860b818c3cb3013e676/grades.json,True,5,6,3,"[""bank-00001"", ""bank-00002"", ""bank-00005""]",bank-00006,195628,3210,55.64,7937,False,False,61725
task_0a4ad19b76cf4602914e6b8a4f263690,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,3,15,388.53,1062504,29415,1091919,40,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0a4ad19b76cf4602914e6b8a4f263690/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_0a4ad19b76cf4602914e6b8a4f263690/grades.json,True,7,8,3,"[""bank-00002"", ""bank-00007"", ""bank-00003""]",bank-00008,196697,3444,67.86,9764,False,False,588319
task_a138d5329a0a494996a505f2adda0a65,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,1.0,6,6,39,348.64,768405,4826,773231,51,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_a138d5329a0a494996a505f2adda0a65/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_a138d5329a0a494996a505f2adda0a65/grades.json,True,8,9,3,"[""bank-00006"", ""bank-00008"", ""bank-00003""]",bank-00009,206511,4819,99.95,13867,False,False,65544
task_f23cb148241641f1b7c5dfbecfd3835f,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,1,36,304.35,1002653,1928,1004581,28,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_f23cb148241641f1b7c5dfbecfd3835f/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_f23cb148241641f1b7c5dfbecfd3835f/grades.json,True,10,11,3,"[""bank-00003"", ""bank-00007"", ""bank-00008""]",bank-00011,205632,5778,72.34,15166,False,False,154652
task_593cb247c14e46b2afc4d1a810add11f,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,4,21,188.14,567640,1456,569096,93,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_593cb247c14e46b2afc4d1a810add11f/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_593cb247c14e46b2afc4d1a810add11f/grades.json,True,11,12,3,"[""bank-00006"", ""bank-00009"", ""bank-00002""]",bank-00012,194899,4749,58.09,17743,False,False,57404
task_1e19e170dbac46ae98a24930a70b4b73,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,0.0,0,1,48,310.62,1053606,2870,1056476,146,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_1e19e170dbac46ae98a24930a70b4b73/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_1e19e170dbac46ae98a24930a70b4b73/grades.json,True,12,13,3,"[""bank-00006"", ""bank-00012"", ""bank-00007""]",bank-00013,58400,5277,56.65,17787,False,False,70024
task_4372ee27c60f4589884be8cc9d6d8bd8,Management Consulting,world_075ef4dff46146a580c8522e2ad29cb3,completed,completed,1.0,2,2,32,1188.98,745973,1883,747856,20,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_4372ee27c60f4589884be8cc9d6d8bd8/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_4372ee27c60f4589884be8cc9d6d8bd8/grades.json,True,13,14,3,"[""bank-00010"", ""bank-00002"", ""bank-00007""]",bank-00014,233607,5493,80.3,17732,False,False,115012
task_912055978b48483696be01adf161ec3b,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,1.0,3,3,36,143.96,629469,1497,630966,189,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_912055978b48483696be01adf161ec3b/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_912055978b48483696be01adf161ec3b/grades.json,True,0,1,0,[],bank-00001,2937,1369,9.87,216,False,False,57006
task_be78a90e872547eea75915f95ca35739,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,1.0,3,3,12,117.91,83509,1330,84839,181,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_be78a90e872547eea75915f95ca35739/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_be78a90e872547eea75915f95ca35739/grades.json,True,1,2,1,"[""bank-00001""]",bank-00002,16722,1961,24.52,3635,False,False,21863
task_b5481555a1c94da6bf78baf87165851c,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,0.4,4,10,23,1893.31,454584,224589,679173,769,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_b5481555a1c94da6bf78baf87165851c/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_b5481555a1c94da6bf78baf87165851c/grades.json,True,2,3,2,"[""bank-00001"", ""bank-00002""]",bank-00003,22621,4831,32.95,4757,False,False,63776
task_de1ec76029b54126ae1105921e4202d4,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,0.6667,2,3,27,264.78,331323,1153,332476,54,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_de1ec76029b54126ae1105921e4202d4/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_de1ec76029b54126ae1105921e4202d4/grades.json,True,3,4,3,"[""bank-00002"", ""bank-00001"", ""bank-00003""]",bank-00004,38508,4564,69.53,5575,False,False,30638
task_f40a571a80e944cead66ecf1d3f0de93,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,0.0,0,2,18,180.47,219243,1334,220577,92,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_f40a571a80e944cead66ecf1d3f0de93/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_f40a571a80e944cead66ecf1d3f0de93/grades.json,True,4,5,3,"[""bank-00003"", ""bank-00004"", ""bank-00002""]",bank-00005,32903,5328,69.51,7260,False,False,41500
task_1d7f4e0be1274b069ad86be4ed813c46,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,0.0,0,10,13,100.55,73197,594,73791,38,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_1d7f4e0be1274b069ad86be4ed813c46/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_1d7f4e0be1274b069ad86be4ed813c46/grades.json,True,5,6,3,"[""bank-00001"", ""bank-00003"", ""bank-00005""]",bank-00006,43962,3185,26.93,7260,False,False,21769
task_b15e945697824a9ab869c8e9a402f5c1,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,1.0,4,4,12,233.51,226656,3760,230416,1009,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_b15e945697824a9ab869c8e9a402f5c1/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_b15e945697824a9ab869c8e9a402f5c1/grades.json,True,6,7,3,"[""bank-00005"", ""bank-00003"", ""bank-00002""]",bank-00007,35615,3153,27.91,7260,False,False,68761
task_828f11b8209f4b53bdf1e836762363d8,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,0.6667,4,6,12,114.75,118611,744,119355,135,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_828f11b8209f4b53bdf1e836762363d8/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_828f11b8209f4b53bdf1e836762363d8/grades.json,True,7,8,3,"[""bank-00001"", ""bank-00002"", ""bank-00006""]",bank-00008,28817,3387,41.17,7866,False,False,34946
task_3caff6fe3a9f4a9f95e57f371a16b601,Law,world_06051b9b10c94c079db1bac3b70c4c4b,completed,completed,0.0,0,1,14,196.84,175007,1130,176137,253,True,trajectory_usage,True,grok-4.3-high,xai/grok-4.3,openai/gpt-5.5,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_3caff6fe3a9f4a9f95e57f371a16b601/trajectory.json,/Users/jerrygu/Jerry Research/DC Collab Research/apex-agents-bench/runs/grok43high-dc-rs/task_3caff6fe3a9f4a9f95e57f371a16b601/grades.json,True,8,9,3,"[""bank-00005"", ""bank-00007"", ""bank-00003""]",bank-00009,46189,4463,80.63,8528,False,False,36931
